Batch token,Lightweight token type שנועד ל-high-scale ephemeral workloads; אינו נשמר כמו service token ויש לו פחות features.,מפחית storage overhead עבור מספר גדול של clients קצרי-חיים.,"05 - Tokens, leases ו-lifecycle",Vault,https://developer.hashicorp.com/vault/docs/concepts/tokens
Blast radius,"היקף systems/data שיושפע אם credential, token, key או Vault component ייפרץ.","מכוון segmentation, TTL, policies ו-tenant design.",11 - Enterprise features ו-platform operations,כללי / architecture,https://developer.hashicorp.com/vault/docs/about-vault/what-is-vault
Break-glass access,הליך emergency privileged access כאשר administration רגילה אינה זמינה.,שומר recoverability בזמן incidents חמורים.,11 - Enterprise features ו-platform operations,כללי / Vault operations,https://developer.hashicorp.com/vault/docs/concepts/tokens
Built-in plugin,Plugin שמגיע יחד עם Vault binary.,מספק functionality נפוצה ונתמכת ללא ניהול external process.,06 - Secrets engines והגנת מידע,Vault,https://developer.hashicorp.com/vault/docs/glossary
Capability,"Operation שמותרת ב-ACL policy, כגון create, read, update, patch, delete, list, recover או sudo.",מגדירה במדויק מה token רשאי לעשות על path.,"04 - Policies, authorization ו-governance",Vault,https://developer.hashicorp.com/vault/docs/concepts/policies
Capacity planning,"Sizing של Vault CPU, memory, storage IOPS, node count, network, lease volume ו-request rate לפי workloads צפויים.",מבטיח reliability כאשר adoption גדל.,11 - Enterprise features ו-platform operations,Vault operations,https://developer.hashicorp.com/vault/docs/internals/limits
Cascading revocation,Revocation של parent token שמבטלת גם את child token tree ואת ה-leases המשויכים.,מספקת cleanup רחב ל-delegated credentials.,"05 - Tokens, leases ו-lifecycle",Vault,https://developer.hashicorp.com/vault/docs/concepts/tokens
Certificate Authority (CA),גורם שמבצע signing ומנפיק digital certificates.,מקים trust עבור identities שמיוצגות על-ידי certificates.,01 - יסודות secrets ואבטחה,כללי,https://developer.hashicorp.com/vault/docs/secrets/pki
Certificate chain,סדרה מסודרת של certificates שמחברת leaf certificate ל-trusted roots אחד או יותר.,מאפשרת ל-relying parties לאמת trust.,07 - PKI ו-certificate lifecycle,כללי / Vault PKI,https://developer.hashicorp.com/vault/docs/secrets/pki
Certificate renewal,קבלת replacement certificate לפני שה-current certificate פג.,שומר trust רציף תוך שימוש ב-TTLs קצרים.,07 - PKI ו-certificate lifecycle,כללי / Vault PKI,https://developer.hashicorp.com/vault/docs/secrets/pki
Certificate revocation,סימון certificate שהונפק כלא תקף לפני expiry.,מכיל compromised או misissued certificates.,07 - PKI ו-certificate lifecycle,כללי / Vault PKI,https://developer.hashicorp.com/vault/docs/secrets/pki
Certificate TTL,Validity period מהנפקת certificate ועד expiration.,מגביל כמה זמן certificate/private key pair נשאר שמיש.,07 - PKI ו-certificate lifecycle,Vault PKI,https://developer.hashicorp.com/vault/docs/secrets/pki
Child namespace,Namespace שנוצר תחת namespace אחר.,מאפשר delegated isolation ו-administration.,"04 - Policies, authorization ו-governance",Vault Enterprise,https://developer.hashicorp.com/vault/docs/enterprise/namespaces/namespace-structure
Child token,Token שנוצר על-ידי token אחר ובדרך כלל מבוטל כאשר ה-parent שלו מבוטל.,תומך ב-delegated access עם lifetime מוגבל.,"05 - Tokens, leases ו-lifecycle",Vault,https://developer.hashicorp.com/vault/docs/concepts/tokens
CI/CD secret retrieval,Pattern שבו pipelines מבצעים authentication ל-Vault ומקבלים short-lived credentials בזמן ריצת job.,מסיר persistent pipeline secrets ומצמצם access ל-run מסוים.,"10 - Kubernetes, agents ו-automation",כללי / Vault,https://developer.hashicorp.com/vault/docs/auth
Client count,Commercial/usage concept שמודד distinct Vault clients/entities לפי מודל ה-licensing של Vault.,משפיע על licensing ומספק visibility לאימוץ.,"09 - Audit, monitoring ו-observability",Vault Enterprise / IBM commercial,https://developer.hashicorp.com/vault/docs/internals/recommended-patterns
Client token / Vault token,Opaque token שמוצג ב-requests לאחר authentication מוצלחת.,נושא identity/policy context ומאשר subsequent API operations.,"05 - Tokens, leases ו-lifecycle",Vault,https://developer.hashicorp.com/vault/docs/concepts/tokens
Cloud IAM auth,Vault authentication שמבוסס על workload identity של cloud provider או על signed identity proof.,מונע צורך להפיץ static credentials ל-cloud workloads.,03 - Authentication וזהות,Vault,https://developer.hashicorp.com/vault/docs/auth
Cloud secrets engine,"Secrets engine שמנפיק temporary credentials לפלטפורמת cloud כגון AWS/Azure/GCP, בהתאם ל-plugin הנתמך.",מחליף static cloud API keys ב-short-lived credentials.,06 - Secrets engines והגנת מידע,Vault,https://developer.hashicorp.com/vault/docs/secrets
Cluster,"קבוצה של Vault server nodes שפועלים יחד, משתפים storage ומתנהגים כשירות Vault לוגי אחד.","מספק availability, scale ומצב מתואם.",02 - ארכיטקטורת Vault וקריפטוגרפיה,Vault,https://developer.hashicorp.com/vault/docs/internals/high-availability
Cluster address (cluster_addr),הכתובת שמשמשת לתקשורת node-to-node בתוך Vault cluster.,תומכת ב-request forwarding וב-cluster coordination פנימי.,02 - ארכיטקטורת Vault וקריפטוגרפיה,Vault,https://developer.hashicorp.com/vault/docs/internals/high-availability
Common Name (CN),X.509 subject field ששימש היסטורית ל-host/user naming.,"מייצג certificate subject name, אף שב-TLS מודרני identity נשענת במידה רבה על SAN.",07 - PKI ו-certificate lifecycle,כללי / Vault PKI,https://developer.hashicorp.com/vault/docs/secrets/pki
Control Group,Enterprise authorization workflow שמחזיק request עד שכל approvals/authorizations הנדרשים הושלמו.,מיישם multi-person approval לגישה רגישה.,"04 - Policies, authorization ו-governance",Vault Enterprise,https://developer.hashicorp.com/vault/docs/license
Convergent encryption,מצב Transit דטרמיניסטי שבו אותו plaintext ואותו context יכולים להפיק אותו ciphertext.,תומך במקרי שימוש שדורשים deterministic encryption או search patterns.,06 - Secrets engines והגנת מידע,Vault,https://developer.hashicorp.com/vault/docs/secrets/transit
create capability,Capability שמאפשרת יצירה ב-endpoints שמבדילים בין create לבין update.,שולטת בפעולות creation.,"04 - Policies, authorization ו-governance",Vault,https://developer.hashicorp.com/vault/docs/concepts/policies
Credential,"מידע המשמש להוכחת זהות למערכת, כגון password, token, certificate או key pair.","מאפשר authentication ליישומים, databases, עננים, APIs ותשתיות.",01 - יסודות secrets ואבטחה,כללי,https://developer.hashicorp.com/vault/docs/about-vault/what-is-vault
Credential revocation,ביטול credential לפני מועד התפוגה הרגיל שלו.,מאפשר containment מיידי באירוע אבטחה וניקוי שגרתי כחלק ממחזור החיים.,01 - יסודות secrets ואבטחה,כללי,https://developer.hashicorp.com/vault/docs/concepts/tokens
Credential rotation,החלפת credential או cryptographic key קיים בחדש.,מגבילה את פרק הזמן שבו credential שנחשף עדיין שימושי.,01 - יסודות secrets ואבטחה,כללי,https://developer.hashicorp.com/vault/docs/about-vault/what-is-vault
CRL (Certificate Revocation List),Signed list של revoked certificate serial numbers שמפורסמת על-ידי CA.,מאפשרת ל-relying parties לדחות certificates לפני expiration טבעי.,07 - PKI ו-certificate lifecycle,כללי / Vault PKI,https://developer.hashicorp.com/vault/docs/secrets/pki
CSR (Certificate Signing Request),Request שמכיל public key ו-certificate identity attributes מבוקשים כדי ש-CA יחתום עליהם.,מאפשר ל-requester לשמור את ה-private key אצלו בזמן קבלת certificate.,07 - PKI ו-certificate lifecycle,כללי / Vault PKI,https://developer.hashicorp.com/vault/docs/secrets/pki
Cubbyhole,אזור secrets פרטי לכל service token שנגיש רק לאותו token.,מספק temporary token-scoped storage ומשמש בסיס ל-response wrapping.,"05 - Tokens, leases ו-lifecycle",Vault,https://developer.hashicorp.com/vault/docs/concepts/tokens
Database connection,Vault configuration שמתארת כיצד database secrets engine מתחבר ל-target database.,"מספקת את ה-privileged control channel ליצירה, rotation ו-revocation של credentials.",06 - Secrets engines והגנת מידע,Vault,https://developer.hashicorp.com/vault/docs/secrets/databases
Database role,"Configuration שמגדירה SQL/commands, permissions ו-TTL behavior עבור credentials שמונפקים למחלקת clients.",מתרגמת application access requirements ל-generated DB accounts.,06 - Secrets engines והגנת מידע,Vault,https://developer.hashicorp.com/vault/docs/secrets/databases
Database secrets engine,"Engine שיכול ליצור dynamic database credentials או לנהל static database roles, בהתאם ל-database/plugin הנתמך.",מחליף shared DB passwords ב-credentials מבוקרים וקצרי-חיים.,06 - Secrets engines והגנת מידע,Vault,https://developer.hashicorp.com/vault/docs/secrets/databases
Default policy,Policy מובנית שמצורפת בדרך כלל ל-tokens אלא אם הוחרגה במפורש.,מספקת baseline token capabilities.,"04 - Policies, authorization ו-governance",Vault,https://developer.hashicorp.com/vault/docs/concepts/policies
delete capability,Capability שמאפשרת deletion ב-path.,שולטת בפעולות הרסניות.,"04 - Policies, authorization ו-governance",Vault,https://developer.hashicorp.com/vault/docs/concepts/policies
Denied parameters,Policy constraint שאוסר request parameters/values מסוימים.,חוסם request forms לא בטוחים או אסורים.,"04 - Policies, authorization ו-governance",Vault,https://developer.hashicorp.com/vault/docs/concepts/policies
deny capability,Capability שמבצעת explicit deny וגוברת במקרים הרלוונטיים.,מספקת authorization guardrail קשיח.,"04 - Policies, authorization ו-governance",Vault,https://developer.hashicorp.com/vault/docs/concepts/policies
Derived key,מצב Transit שבו operation-specific keys נגזרים מ-base key בתוספת context.,מספק cryptographic separation ללא stored key נפרד לכל context.,06 - Secrets engines והגנת מידע,Vault,https://developer.hashicorp.com/vault/docs/secrets/transit
Destroy (KV v2),פעולת KV v2 שמסירה לצמיתות data של secret versions נבחרים.,מאפשרת irreversible data removal.,06 - Secrets engines והגנת מידע,Vault / KV v2,https://developer.hashicorp.com/vault/docs/secrets/kv
Dev server mode,"Convenience mode שמפעיל in-memory Vault, מבצע automatic unseal ויוצר root token לצורכי ניסוי.",מאיץ local testing ולמידה.,11 - Enterprise features ו-platform operations,Vault,https://developer.hashicorp.com/vault/docs/concepts/dev-server
Disaster Recovery (DR) Replication,Vault Enterprise replication mode שמיועד ל-standby cluster שניתן לקדם לאחר אובדן ה-primary.,מספק business-continuity recovery של Vault service/state.,"08 - Storage, HA, replication ו-disaster recovery",Vault Enterprise,https://developer.hashicorp.com/vault/docs/enterprise/replication
DR operation token,Special token לפעולות administrative מאושרות על DR secondary.,מאפשר DR management מבוקר כאשר normal tokens אינם זמינים שם.,"08 - Storage, HA, replication ו-disaster recovery",Vault Enterprise,https://developer.hashicorp.com/vault/docs/enterprise/replication
DR primary,Active source cluster עבור disaster-recovery replication.,משכפל state ל-DR secondaries אחד או יותר.,"08 - Storage, HA, replication ו-disaster recovery",Vault Enterprise,https://developer.hashicorp.com/vault/docs/enterprise/replication
DR secondary,שרת או cluster המשמש כ-Replication target חם לגיבוי והמשכיות עסקית (Disaster Recovery). כל גישת ה-API של קליינטים רגילים חסומה לחלוטין (מחזיר שגיאת 503 Active Standby) עד אשר ה-cluster מקודם (promoted) לשרת ראשי.,"שמירה על עותק מדויק ומעודכן בזמן אמת של כל בסיס הנתונים (כולל tokens ו-leases), ללא יכולת שירות פעיל ללקוחות לצורך שמירת עקביות ומניעת קונפליקטים.","08 - Storage, HA, replication ו-disaster recovery",Vault Enterprise,https://developer.hashicorp.com/vault/docs/enterprise/replication
Dynamic database credentials,Database username/password שנוצרים לכל request ומבוטלים לאחר expiry של ה-lease.,מצמצמים shared ו-long-lived database secrets.,06 - Secrets engines והגנת מידע,Vault,https://developer.hashicorp.com/vault/docs/secrets/databases
Dynamic secret,"Credential שנוצר לפי דרישה על-ידי secrets engine, בדרך כלל עם lease ו-lifetime מוגבל.",מצמצם שימוש חוזר ב-credentials ואת blast radius באמצעות credentials קצרי-חיים וייחודיים לכל client.,01 - יסודות secrets ואבטחה,כללי,https://developer.hashicorp.com/vault/docs/secrets
EGP (Endpoint Governing Policy),סוג Sentinel policy שמוצמד ל-API paths מוגדרים.,אוכף organization-wide rules על sensitive operations.,"04 - Policies, authorization ו-governance",Vault Enterprise,https://developer.hashicorp.com/vault/docs/enterprise/sentinel
Encryption at rest,הצפנה שמגינה על מידע מאוחסן כשהוא נמצא על disk או persistent medium אחר.,מצמצמת חשיפה אם יש גישה ישירה ל-storage media או ל-backend data.,01 - יסודות secrets ואבטחה,כללי,https://developer.hashicorp.com/vault/docs/about-vault/how-vault-works
Encryption context,Input נוסף שמשמש ל-key derivation או cryptographic operations עם scope ב-Transit.,מאפשר logical separation כאשר משתמשים במודל derived key.,06 - Secrets engines והגנת מידע,Vault,https://developer.hashicorp.com/vault/docs/secrets/transit
Encryption in transit,"הצפנה שמגינה על התעבורה בין clients, ‏Vault nodes ומערכות משולבות.",מונעת interception או manipulation של מידע ברשת.,01 - יסודות secrets ואבטחה,כללי,https://developer.hashicorp.com/vault/docs/concepts/production-hardening
Entity,Vault Identity object שמייצג client/user קנוני אחד שיכול לבצע authentication דרך כמה methods.,"מספק identity יציבה עבור policy, audit ו-client counting.",03 - Authentication וזהות,Vault,https://developer.hashicorp.com/vault/docs/secrets/identity
Entity alias,Mapping בין identity חיצונית/של auth method לבין Vault entity קנונית.,מאפשר לכמה login identities להיפתר לאותה Vault identity.,03 - Authentication וזהות,Vault,https://developer.hashicorp.com/vault/docs/secrets/identity
Entity ID / canonical ID,מזהה ייחודי של Vault identity entity.,מספק reference יציב גם אם names או aliases משתנים.,03 - Authentication וזהות,Vault,https://developer.hashicorp.com/vault/docs/concepts/policies
Entropy augmentation,Enterprise capability לשילוב entropy ממקור חיצוני/HSM ב-random generation של Vault.,תומכת בדרישות נוספות ל-assurance של randomness.,11 - Enterprise features ו-platform operations,Vault Enterprise,https://developer.hashicorp.com/vault/docs/license
Envelope encryption,"דפוס שבו המידע מוצפן באמצעות data key, וה-data key עצמו מוגן באמצעות key אחר.",מאפשר הצפנה בקנה מידה גדול תוך שמירה על שליטה מרכזית בפעולות key.,01 - יסודות secrets ואבטחה,כללי / Vault,https://developer.hashicorp.com/vault/docs/secrets/transit
Explicit max TTL,Hard per-token maximum lifetime שלא ניתן לעבור גם עם periodic behavior.,מספק expiry boundary שאינו ניתן לעקיפה.,"05 - Tokens, leases ו-lifecycle",Vault,https://developer.hashicorp.com/vault/docs/concepts/tokens
External Account Binding (EAB),מנגנון ACME שקושר new ACME account ל-external account/key שהוגדר מראש.,מוסיף controlled enrollment עבור ACME clients.,07 - PKI ו-certificate lifecycle,כללי / Vault PKI external CA,https://developer.hashicorp.com/vault/docs/secrets/pki-external-ca
External group,Vault group שממופה ל-group במערכת identity חיצונית באמצעות group alias.,מאפשר ל-external IAM/LDAP/group membership להכתיב Vault access.,03 - Authentication וזהות,Vault,https://developer.hashicorp.com/vault/docs/concepts/identity
External multiplexed plugin,מודל external plugin שבו process אחד יכול לשרת כמה mounts מאותו plugin type.,מפחית process overhead כאשר קיימים mounts רבים.,06 - Secrets engines והגנת מידע,Vault,https://developer.hashicorp.com/vault/docs/glossary
External plugin,Standalone plugin process שאינו מגיע כחלק מ-Vault core ומנוהל בנפרד.,מרחיב את Vault ב-auth או secrets capabilities נוספות.,06 - Secrets engines והגנת מידע,Vault,https://developer.hashicorp.com/vault/docs/glossary
File audit device,Audit device שכותב JSON audit entries לקובץ.,מספק local audit capture פשוט להעברה ל-SIEM/log platform.,"09 - Audit, monitoring ו-observability",Vault,https://developer.hashicorp.com/vault/docs/audit
FIPS mode/build,"Vault capability/build options לסביבות שדורשות FIPS-validated cryptographic modules, בהתאם ל-product/version/platform.",תומך בדרישות compliance הנוגעות לשימוש ב-cryptographic modules.,11 - Enterprise features ו-platform operations,Vault Enterprise / compliance,https://developer.hashicorp.com/vault/docs/license
Force revoke,Administrative revocation שמסירה את lease tracking של Vault גם אם פעולת ה-revocation במערכת המרוחקת נכשלת.,מאפשרת לשקם את state של Vault כאשר backend תקול או לא נגיש.,"05 - Tokens, leases ו-lifecycle",Vault,https://developer.hashicorp.com/vault/docs/concepts/tokens
Generate root,הליך מבוקר שיוצר root token חדש באמצעות quorum של מחזיקי unseal/recovery keys.,מספק break-glass administrative access בעת הצורך.,02 - ארכיטקטורת Vault וקריפטוגרפיה,Vault,https://developer.hashicorp.com/vault/docs/concepts/tokens
Group,Vault Identity collection של entities ו/או nested groups שניתן להצמיד אליה policies.,תומך ב-authorization מבוסס roles/groups בקנה מידה גדול.,03 - Authentication וזהות,Vault,https://developer.hashicorp.com/vault/docs/concepts/identity
Group alias,Mapping בין external group name/identifier לבין Vault external group.,מחבר membership של IdP או directory ל-Vault authorization.,03 - Authentication וזהות,Vault,https://developer.hashicorp.com/vault/docs/concepts/identity
HA lock,מנגנון coordination lock שקובע איזה node הוא active.,מונע מצב שבו כמה active Vault nodes שולטים במקביל באותו cluster state.,02 - ארכיטקטורת Vault וקריפטוגרפיה,Vault,https://developer.hashicorp.com/vault/docs/internals/high-availability
Hardware Security Module (HSM),"חומרה או גבול שירות עמידים בפני tampering ליצירה, אחסון ושימוש ב-cryptographic keys.",יכול לספק auto-unseal/seal protection ומשמורת מפתחות חזקה יותר.,01 - יסודות secrets ואבטחה,כללי / Enterprise,https://developer.hashicorp.com/vault/docs/concepts/seal
"HashiCorp, an IBM Company",Branding שמתאר את HashiCorp לאחר ש-IBM השלימה את הרכישה בפברואר 2025.,מסביר מדוע HashiCorp Developer documentation ו-IBM product/support pages קיימים במקביל.,12 - מונחים ייחודיים ל-IBM Vault,IBM current,https://newsroom.ibm.com/2025-02-27-ibm-completes-acquisition-of-hashicorp%2C-creates-comprehensive%2C-end-to-end-hybrid-cloud-platform
HCP Vault Dedicated,השם ב-HashiCorp Developer documentation עבור dedicated managed Vault service; ב-IBM commercial pages נעשה שימוש גם בשם IBM Vault Dedicated.,Managed Vault Enterprise service עם dedicated clusters.,12 - מונחים ייחודיים ל-IBM Vault,IBM / HashiCorp managed service,https://developer.hashicorp.com/hcp/docs/vault/what-is-hcp-vault
HCP Vault Radar / Vault Radar,HashiCorp/IBM service לגילוי exposed או unmanaged secrets בקוד וב-environments.,משלים את Vault באמצעות זיהוי secret sprawl שצריך remediation או מעבר ל-managed workflows.,12 - מונחים ייחודיים ל-IBM Vault,IBM / HashiCorp portfolio,https://www.ibm.com/products/hashicorp
HCP Vault Secrets,"שירות SaaS פשוט ומהיר לניהול סודות של HashiCorp (עדיין פעיל וזמין, בניגוד לטענות שגויות על סיום פעילותו ב-2026).",מתן פתרון ניהול סודות קל וזול למפתחים וצוותים קטנים שאינם זקוקים למלוא יכולות ה-Enterprise של Vault.,12 - מונחים ייחודיים ל-IBM Vault,Legacy / EOL,https://www.ibm.com/support/pages/hcp-vault-secrets-end-life
Health endpoint,"Vault API endpoint שמדווח initialization, seal, standby ו-availability status.",מאפשר ל-load balancers ול-monitoring systems לקבוע node state.,"09 - Audit, monitoring ו-observability",Vault,https://developer.hashicorp.com/vault/docs/internals/high-availability
High Availability (HA),מצב הפעלה שבו כמה nodes מתואמים כך שכשל של active node מאפשר failover ל-node אחר.,מצמצם הפרעה לשירות עקב כשל node.,02 - ארכיטקטורת Vault וקריפטוגרפיה,Vault,https://developer.hashicorp.com/vault/docs/internals/high-availability
Human identity,אדם שמיוצג באמצעות enterprise identity provider או Vault auth method.,"תומך בגישה של administrators, developers, auditors ו-operators.",01 - יסודות secrets ואבטחה,כללי,https://developer.hashicorp.com/vault/docs/auth
IBM API Connect – Vault integration,"IBM API Connect integration לשמירה, retrieval או synchronization של secrets עם HashiCorp/IBM Vault.",מרכזת sensitive values שקשורים ל-API gateway.,12 - מונחים ייחודיים ל-IBM Vault,IBM integration,https://www.ibm.com/docs/en/api-connect/cloud/12.1.1_saas?topic=gateway-using-hashicorp-vault-as-secrets-manager
IBM Cloud Continuous Delivery – HashiCorp Vault integration,IBM Cloud toolchain integration שמאפשרת ל-pipelines/tools לגשת ל-secrets שנשמרים ב-HashiCorp/IBM Vault server.,מחברת DevOps toolchains ל-centrally managed secrets.,12 - מונחים ייחודיים ל-IBM Vault,IBM Cloud integration,https://cloud.ibm.com/docs/ContinuousDelivery?topic=ContinuousDelivery-hashicorpvault
IBM Cloud Secrets Manager,IBM Cloud managed secrets service שהתיעוד שלו מציין שהוא built on HashiCorp Vault.,מספק IBM Cloud-native managed secrets experience נפרד מהפעלה של IBM Vault Self-Managed.,12 - מונחים ייחודיים ל-IBM Vault,IBM Cloud integration,https://cloud.ibm.com/docs/secrets-manager?topic=secrets-manager-getting-started
IBM HSM / Hyper Protect auto-unseal pattern,IBM deployment pattern שמשתמש ב-IBM HSM/confidential-computing capabilities להגנה על Vault auto-unseal key operations.,מחזק seal key custody ומסיר תלות ב-manual unseal.,12 - מונחים ייחודיים ל-IBM Vault,IBM infrastructure integration,https://developer.ibm.com/tutorials/awb-deploy-vault-securely-confidential-environment/
IBM Passport Advantage Online (PAO),"פורטל הרישוי והרכש הרשמי של IBM, המשמש לקבלת ה-entitlements והקבצים המסחריים עבור פריסות של HashiCorp Vault Enterprise בארגונים.",ניהול מרכזי של זכויות השימוש ברישיונות Vault Enterprise תחת המודל המסחרי של IBM (שאינו דורש אימות מול שרת קצה).,12 - מונחים ייחודיים ל-IBM Vault,IBM licensing,https://developer.hashicorp.com/vault/docs/configuration/license-entitlement
IBM QRadar SOAR – Vault integration,IBM QRadar SOAR capability להפניה ל-credentials שנשמרים ב-Vault; התיעוד הנוכחי מציין תמיכה ב-KV secret engine עבור integration זו.,מסירה hardcoded SOAR app credentials ומרכזת secret storage.,12 - מונחים ייחודיים ל-IBM Vault,IBM Security integration,https://www.ibm.com/docs/en/security-qradar/security-qradar-soar/saas?topic=managers-hashicorp-vault
IBM Vault,"מונח שיווקי ומסחרי המתייחס לעיתים לפורטפוליו של HashiCorp Vault הנמכר דרך IBM, אך המוצר הרשמי נותר 'HashiCorp Vault' (או 'IBM HashiCorp Vault'). יש להימנע מלבלבל בינו לבין 'IBM Security Verify Privilege Vault' שהוא מוצר נפרד לחלוטין המבוסס על Delinea.","מניעת בלבול ארכיטקטוני ומסחרי בין מוצר ה-Identity & secrets management של HashiCorp לבין פתרון ה-PAM של Delinea הנמכר גם הוא ע""י IBM.",12 - מונחים ייחודיים ל-IBM Vault,IBM current,https://www.ibm.com/products/hashicorp
IBM Vault Dedicated,"גרסה מנוהלת בענן (SaaS / Managed Service) של HashiCorp Vault Enterprise המשווקת על-ידי IBM, ומקבילה לפתרון HCP Vault Dedicated של HashiCorp.",צריכת שירותי Vault Enterprise ללא הנטל התפעולי של ניהול ואבטחת השרתים וה-clusters באופן עצמאי.,12 - מונחים ייחודיים ל-IBM Vault,IBM current,https://www.ibm.com/products/hashicorp/pricing
IBM Vault Self-Managed,גרסת self-managed של HashiCorp Vault Enterprise המופצת ונתמכת על-ידי IBM תחת הסכמי הרכישה והרישוי של IBM.,מתן מענה לארגונים המעוניינים להריץ את פלטפורמת ה-Enterprise של Vault בסביבה בשליטתם עם תמיכה מסחרית של IBM.,12 - מונחים ייחודיים ל-IBM Vault,IBM current,https://www.ibm.com/support/pages/ibm-hashicorp-self-managed-product-support-lifecycle-addendum
